CdStationMesureEauxSurface,cluster
02000010,2
02000011,2
02001000,3
02001025,3
02001050,2
02001700,2
02001715,2
02001725,2
02001750,2
02002000,2
02003100,2
02003200,2
02003350,2
02003400,2
02003800,3
02004000,2
02004300,0
02005700,0
02007000,2
02009000,0
02010000,2
02011000,2
02013000,2
02016050,0
02017000,2
02018000,2
02018500,2
02018780,0
02019000,0
02019500,0
02020000,0
02021000,0
02021700,2
02022000,2
02022700,2
02024000,0
02025100,0
02025500,2
02025700,2
02027000,2
02028000,0
02028300,3
02029000,2
02029160,0
02030200,3
02030500,2
02031650,0
02032000,0
02035000,2
02036000,0
02036250,2
02037000,2
02037400,1
02037500,1
02038000,2
02041000,0
02041650,0
02041750,2
02041950,3
02042000,3
02042500,3
02043500,3
02043600,2
02044000,3
02045000,3
02045050,3
02045150,0
02045200,2
02045283,2
02045350,3
02045500,3
02046000,3
02047000,3
02047500,0
02047750,2
02048960,0
02048980,0
02049000,0
02049500,0
02049900,0
02050000,0
02051000,0
02051600,0
02051820,0
02052000,0
02052500,0
02054000,0
02054100,0
02054500,0
02055500,3
02055580,2
02056200,0
02057000,2
02057250,3
02057400,3
02057520,3
02057600,3
02058000,3
02059500,2
02060500,2
02060750,2
02061500,0
02061970,0
02063000,0
02064000,0
02064770,0
02065090,0
02065280,0
02065500,0
02066000,0
02067000,0
02067150,0
02067400,3
02067800,3
02068500,0
02068800,0
02069100,3
02070000,2
02070250,2
02070750,3
02070900,2
02071050,3
02072400,3
02072700,3
02074000,3
02075300,3
02076180,2
02076800,3
02077200,2
02078000,2
02079000,2
02081000,3
02081100,3
02081300,3
02082000,3
02082900,3
02084000,2
02085325,2
02085600,1
02086500,3
02088000,2
02089000,2
02089900,2
02090000,2
02092000,1
02093100,3
02093600,3
02094000,3
02094500,3
02094700,2
02094800,3
02094900,3
02094920,2
02094930,2
02094950,1
02094970,0
02094973,0
02094979,0
02095500,2
02095600,2
02096000,2
02096500,2
02096750,3
02096900,2
02097000,3
02098200,3
02098800,2
02099500,3
02099800,3
02100150,3
02100600,0
02100830,2
02101050,1
02103800,1
02103850,3
02103950,3
02104000,3
02104400,3
02105000,3
02106410,3
02106430,3
02106500,3
02106600,2
02106750,3
02106800,2
02106850,3
02106900,3
02107000,3
02107890,2
02107900,2
02109000,2
02110000,2
02111000,2
02111500,3
02112000,2
02112150,2
02113000,2
02114000,2
02115000,2
02115200,1
02115625,0
02115650,3
02115675,2
02115685,2
02115725,2
02115750,2
02115762,2
02115775,3
02115790,2
02115800,2
02115900,3
02115950,2
02116000,2
02116570,0
02116600,0
02117000,2
02117575,2
02118000,2
02118300,2
02118500,2
02118750,2
02119000,2
02120000,2
02122200,0
02122800,2
02123000,2
02123500,0
02124000,2
